Report generated on: 11-14-2025 15:23:22
"API","","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"","Australia","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","    Production","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.7-1-AUS-TST.A","        Coal (Mst)","115195.8042400001","133349.7476300002","139098.2942799998","152683.1627200001","162789.1408000001","177169.8770599997","189058.29041","214906.3576","193590.9891300007","215457.5125999999","226346.7001659108","243171.4627387087","252666.5239399411","250369.402048085","249471.0312012173","267598.7920623206","273569.3852972225","292390.5385072383","317745.6433652544","321651.0518321898","338998.5220927139","364035.7399803528","376837.6992442534","379379.396984309","389241.9007652902","411705.2250823984","416384.2233211144","434623.9928951281","436346.7561636351","454111.4444894628","486341.3731464642","464437.0848544812","486118.4676626031","516068.418787809","548558.789550277","574180.7846448513","560423.0562491975","557422.5125521732","541743.913606892","564027.1512771541","550888.7424164098","514937.1462477447","510991.2025479496","488251.7266587061"
"INTL.11-1-AUS-TST.A","            Anthracite (Mst)","1173.5379992941","1193.2053616752","1251.6583438608","1171.6681976161","1079.7203486311","1115.2251178017","1095.365344217","1183.82732729","1003.4632764027","1026.7169323009","1271.5328159108","1379.7642387087","1391.6525099411","1366.391528085","1327.8224812173","1414.0755723206","1474.0825872225","1410.4608772383","1508.3367052544","1620.6964621898","1649.7743127139","1833.2086303528","3605.4540342534","3871.983934309","4109.1167952902","4322.3137623984","4684.6660411144","4460.7431151281","4183.9160436351","4643.4396794628","6233.5595764642","7861.3851644812","7581.4458426031","11134.379397809","9771.707750277","9498.2363248514","9671.5017091974","7303.6839521732","7024.355706892","8780.3765571541","7731.0014664098","7649.6750077447","5968.9783579496","1867.7357747451"
"INTL.130-1-AUS-TST.A","            Metallurgical coal (Mst)","44187.19866","52580.187","45783.34354","54160.89954","58356.2914","60445.16885","60527.8421","70773.81355","66978.56022","68022.44779","71243.39761","78106.37967","80381.54751","87261.06422","84721.34198","87495.85625","90594.44966","98132.04544","97885.128","107080.59802","114364.6625","120276.35103","118261.32835","123777.28759","128077.3989","141490.30698","146491.48745","156482.82529","158722.71921","143090.8611","179598.26599","161722.10472","161977.84064","175811.83114","198740.98145","210602.93936","208669.48762","209438.9","197699.2985","208409.34246","202564.89484","188055.18831","185821.90825","183796.96478"
"INTL.12-1-AUS-TST.A","            Bituminous (Mst)","41659.255383552","44087.063129437","46475.605486147","50392.10165","57262.79988","63886.58067","75212.81592","81685.58024","75664.602247192","78088.74271","84639.77104","90159.03721","95139.27379","89314.66775","87276.49656","100727.98549","99087.74821","105419.41685","121448.10656","113449.7452","123164.40323","135219.26539","143862.4781","131097.7283","134258.05107","138779.72669","135349.33797","144831.40859","145558.93319","173441.86464","192773.07511","191245.27345","211744.93252","235577.97703","249891.47238","256946.25638","245534.04095","247217.26832","255277.35904","269910.52429","266732.56456","246127.08373","248500.35716","232331.67408"
"INTL.119-1-AUS-TST.A","            Subbituminous (Mst)","13418.109725667","13455.232273461","21572.884433857","22388.643663124","16425.542184932","17068.931542622","18818.985837879","19539.034176","19688.023813209","22193.999553973","18496.7618","19087.59996","19841.58","19904.41167","22405.55306","22016.43763","23205.83012","23323.77729","23866.11381","25335.49304","25641.93522","35100.85733","37627.35185","43416.68397","46130.57119","49363.64642","51356.6229","52246.18707","50822.00255","53528.1736","27767.1889","26002.39059","25457.84945","24831.73737","23417.47364","25085.26867","28785.72334","30940.73939","31085.142","29180.35032","28100.08652","27224.85238","26281.27502","27385.413813961"
"INTL.14-1-AUS-TST.A","            Lignite (Mst)","14757.702471487","22034.059865427","24014.802476135","24569.84966926","29664.786986437","34653.970879576","33403.281207904","41724.10230671","30256.339573197","46125.605613726","50695.2369","54438.68166","55912.47013","52522.86688","53739.81712","55944.43712","59207.27472","64104.83805","73037.95829","74164.51911","74177.74683","71606.0576","73481.08691","77215.71319","76666.76281","77749.23123","78502.10896","76602.82883","77059.18517","79407.10547","79969.28357","77605.93093","79356.39921","68712.49385","66737.15433","72048.08391","67762.30263","62521.92089","50657.75836","47746.55765","45760.19503","45880.34682","44418.68376","42869.93821"
"INTL.21-1-AUS-TST.A","        Metallurgical coke (Mst)","5501.62921","5980.03175","5234.87019","4055.39849","3992.56682","3971.62293","4162.32256","3968.316","4499.62942","4872.2102","4954.88345","4668.28285","4684.8175","4520.57331","5012.20357","5089.36527","5056.29597","4725.60297","4866.69865","4615.37197","4121.53709","3853.67576","3794.15102","3638.72531","3844.85728","3851.47114","3680.61309","3678.40847","3679.51078","2825.22053","3489.91346","3732.42166","3289.29304","3354.32933","3105.20727","3223.15444","2979.54393","2890.25682","2780.02582","2557.3592","2710.58029","2688.53409","2536.41531","2361.14802"
